Asin,Img_URL,Web_URL,Title,Type,Text
B07H2N1D6G,https://m.media-amazon.com/images/I/A1tlAiiUMEL.jpg,https://music.amazon.com/albums/B07H2N1D6G,Make Me Want To,Song,Make Me Want To is a Country song by Jimmie Allen from 2010s
B07H2N1D6G,https://m.media-amazon.com/images/I/A1tlAiiUMEL.jpg,https://music.amazon.com/albums/B07H2N1D6G,Make Me Want To,Song,Make Me Want To is a Contemporary Country song by Jimmie Allen from 2010s
B07H2N1D6G,https://m.media-amazon.com/images/I/A1tlAiiUMEL.jpg,https://music.amazon.com/albums/B07H2N1D6G,Make Me Want To,Song,Make Me Want To is a Rap & Hip-Hop song by Jimmie Allen from 2010s
B082DK9VHP,https://m.media-amazon.com/images/I/71fIkwuck0L.jpg,https://music.amazon.com/albums/B082DK9VHP,The Box,Song,The Box is a West Coast Hip-Hop song by Roddy Ricch from 2010s
B082DK9VHP,https://m.media-amazon.com/images/I/71fIkwuck0L.jpg,https://music.amazon.com/albums/B082DK9VHP,The Box,Song,The Box is a Rap & Hip Hop song by Roddy Ricch from 2010s
B082DK9VHP,https://m.media-amazon.com/images/I/71fIkwuck0L.jpg,https://music.amazon.com/albums/B082DK9VHP,The Box,Song,The Box is a Rap & Hip-Hop song by Roddy Ricch from 2010s
B07X5SG23Q,https://m.media-amazon.com/images/I/61QQv9A3cCL.jpg,https://music.amazon.com/albums/B07X5SG23Q,Circles,Song,Circles is a Pop song by Post Malone from 2010s
B07X5SG23Q,https://m.media-amazon.com/images/I/61QQv9A3cCL.jpg,https://music.amazon.com/albums/B07X5SG23Q,Circles,Song,Circles is a Rap & Hip Hop song by Post Malone from 2010s
B07X5SG23Q,https://m.media-amazon.com/images/I/61QQv9A3cCL.jpg,https://music.amazon.com/albums/B07X5SG23Q,Circles,Song,Circles is a Breakup song by Post Malone from 2010s
B07X5SG23Q,https://m.media-amazon.com/images/I/61QQv9A3cCL.jpg,https://music.amazon.com/albums/B07X5SG23Q,Circles,Song,Circles is a Alternative Pop song by Post Malone from 2010s
B07X5SG23Q,https://m.media-amazon.com/images/I/61QQv9A3cCL.jpg,https://music.amazon.com/albums/B07X5SG23Q,Circles,Song,Circles is a Rap & Hip-Hop song by Post Malone from 2010s
B07V5K4HG4,https://m.media-amazon.com/images/I/81VfO2DWCCL.jpg,https://music.amazon.com/albums/B07V5K4HG4,Dive Bar Garth Brooks and Blake Shelton,Song,Dive Bar Garth Brooks and Blake Shelton is a Country song by Garth Brooks from 2010s
